COD_CIVICO,COMUNE,VIA,CIVICO,CIRCOSCRIZIONE,CAP,COORDINATA_X,COORDINATA_Y
38227,Torino,VIA MICHELE LESSONA,46 int. 9,4,10145,7.64432686596566,45.0842549228616
38238,Torino,VIA MICHELE LESSONA,54 int. 5,4,10145,7.64364859356964,45.0838759969326
38208,Torino,VIA MICHELE LESSONA,54 int. 9,4,10145,7.64367642061879,45.0842518166424
38215,Torino,VIA MICHELE LESSONA,58,4,10145,7.64326347611993,45.0834326774139
38218,Torino,VIA MICHELE LESSONA,61,4,10145,7.64360856706385,45.0832404043445
52367,Torino,VIA MICHELE LESSONA,67,4,10145,7.64295918529776,45.083262628542
38198,Torino,VIA MICHELE LESSONA,76,4,10145,7.64151542484266,45.0834922078748
38200,Torino,VIA MICHELE LESSONA,78,4,10145,7.64092339817823,45.08351217726
38204,Torino,VIA MICHELE LESSONA,82,4,10145,7.64057786003351,45.0835235831008
37607,Torino,VIA LESSOLO,28,7,10153,7.71162441414921,45.0717813118416
37583,Torino,VIA LESSOLO,31,7,10153,7.71132637608256,45.0720694433828
37586,Torino,VIA LESSOLO,34,7,10153,7.71148283299561,45.0722006900864
37589,Torino,VIA LESSOLO,35,7,10153,7.71126616853722,45.0722538938517
67518,Torino,CORSO GUGLIELMO MARCONI,11 scala A,8,10125,7.67902317984922,45.0567867085573
83291,Torino,CORSO GUGLIELMO MARCONI,11 scala C,8,10125,7.67919762830081,45.056983318715
81375,Torino,CORSO GUGLIELMO MARCONI,13 scala B,8,10125,7.67971940992251,45.0565876389189
87858,Torino,CORSO GUGLIELMO MARCONI,15 scala B,8,10125,7.68023905005017,45.0564338645062
81407,Torino,CORSO GUGLIELMO MARCONI,27 scala A,8,10125,7.68247627340681,45.055720222179
67483,Torino,CORSO GUGLIELMO MARCONI,28,8,10125,7.68152508710014,45.0555322774712
87552,Torino,CORSO GUGLIELMO MARCONI,31 bis scala A,8,10125,7.68335884907675,45.0554570901943
81227,Torino,VIA ALESSANDRO MANZONI,3,1,10122,7.67216197387886,45.0751647378774
81280,Torino,VIA ALESSANDRO MANZONI,4,1,10122,7.67160490225859,45.0746047504179
87528,Torino,VIA ALESSANDRO MANZONI,16,1,10122,7.67075526680364,45.073385487706
80380,Torino,VIA MADAMA CRISTINA,139,8,10126,7.67452553475006,45.0456910714967
80349,Torino,VIA MADAMA CRISTINA,140,8,10126,7.67238088088284,45.0430077661139
80358,Torino,VIA MADAMA CRISTINA,163,8,10126,7.67292573260654,45.0434142112018
80336,Torino,PIAZZA MADAMA CRISTINA,1,8,10125,7.68408569100976,45.0589027767009
80455,Torino,VIA MADAMA CRISTINA,94 bis,8,10126,7.67600379873107,45.0482117259597
80433,Torino,VIA MADAMA CRISTINA,97,8,10126,7.67739281874551,45.0497774618596
80441,Torino,VIA MADAMA CRISTINA,102,8,10126,7.67536071929624,45.0472454066478
80446,Torino,VIA MADAMA CRISTINA,104 scala B,8,10126,7.67495567822454,45.0468364910782
124629,Torino,VIA MADAMA CRISTINA,105 scala A,8,10126,7.67700566075423,45.0490299517799
38742,Torino,VIA CESARE LOMBROSO,3,8,10125,7.68071741340864,45.0570619817857
38745,Torino,VIA CESARE LOMBROSO,6,8,10125,7.68116392713416,45.0567794611218
38751,Torino,VIA CESARE LOMBROSO,8 scala B,8,10125,7.68139661891371,45.056616641817
38726,Torino,VIA CESARE LOMBROSO,13,8,10125,7.68258125429899,45.0563909672235
52449,Torino,VIA CESARE LOMBROSO,15 scala A,8,10125,7.68287820066654,45.0563709881573
38731,Torino,VIA CESARE LOMBROSO,16,8,10125,7.68262494068574,45.0562566877043
55277,Torino,VIA CESARE LOMBROSO,19 scala A,8,10125,7.68360757381942,45.0560722403839
52447,Torino,VIA CESARE LOMBROSO,25,8,10125,7.68426244837831,45.0557847729435
38716,Torino,VIA CESARE LOMBROSO,26,8,10125,7.6839368751574,45.0557816872053
123540,Torino,VIA LOMELLINA,1 scala B,7,10132,7.71605150571231,45.0678639778032
38691,Torino,VIA LOMELLINA,4,7,10132,7.71643554260127,45.0676004030343
38694,Torino,VIA LOMELLINA,8,7,10132,7.71684693186362,45.0676652032801
38697,Torino,VIA LOMELLINA,18,7,10132,7.71789093359661,45.0675879385895
38699,Torino,VIA LOMELLINA,22,7,10132,7.71854451670545,45.0675441000677
37591,Torino,VIA LESSOLO,36,7,10153,7.71145360911101,45.0722902337711
37565,Torino,VIA MICHELE LESSONA,1,4,10143,7.65063648410633,45.0830004352816
37569,Torino,VIA MICHELE LESSONA,3 int. 5,4,10143,7.65034700042876,45.0826108397798
37674,Torino,VIA MICHELE LESSONA,6,4,10143,7.65010705394115,45.0831985260998
37684,Torino,VIA MICHELE LESSONA,13,4,10143,7.64924799200171,45.0830457619294
37685,Torino,VIA MICHELE LESSONA,16,4,10145,7.64789425341833,45.0832745604271
37659,Torino,VIA MICHELE LESSONA,25 scala A,4,10145,7.64732797847792,45.0830746945999
134461,Torino,VIA MICHELE LESSONA,33 scala A,4,10145,7.64669262268278,45.0830164146638
37671,Torino,VIA MICHELE LESSONA,35 bis,4,10145,7.64595844391389,45.0831601734902
37547,Torino,VIA LESEGNO,70,2,10136,7.64218720355748,45.0483697951847
37548,Torino,VIA LESEGNO,72,2,10136,7.64208820251911,45.0479905699871
37555,Torino,VIA LESEGNO,78,2,10136,7.64195251309053,45.0474580670375
81289,Torino,VIA ALESSANDRO MANZONI,25,1,10122,7.67092089706613,45.0733818615693
85594,Torino,VIA ALESSANDRO MANZONI,27,1,10122,7.67082429643393,45.0732437395872
87526,Torino,CORSO MARCHE,5,4,10146,7.61423989988688,45.0750902293454
81264,Torino,CORSO MARCHE,6,4,10146,7.6147777781224,45.0749698671135
81270,Torino,CORSO MARCHE,10 int. 2,4,10146,7.61509103584246,45.0752068030271
81273,Torino,CORSO MARCHE,14,4,10146,7.61476761012473,45.0755352513043
81247,Torino,CORSO MARCHE,40,4,10146,7.61473424144139,45.0774639467707
81251,Torino,CORSO MARCHE,74,4,10146,7.61469830247536,45.0794841130893
81257,Torino,VIA ADA MARCHESINI GOBETTI,4,8,10134,7.64927875948626,45.0327693259535
67525,Torino,CORSO GUGLIELMO MARCONI,1 scala A,8,10125,7.67750992927898,45.0575146023163
67533,Torino,CORSO GUGLIELMO MARCONI,3 scala B,8,10125,7.67769671394041,45.0573168811251
81205,Torino,VIA MANTOVA,3,7,10153,7.69641953670089,45.0774809356643
80424,Torino,VIA MADAMA CRISTINA,107 scala B,8,10126,7.67718763890607,45.0487665927402
80404,Torino,VIA MADAMA CRISTINA,112,8,10126,7.67440355716283,45.0458873888086
87862,Torino,VIA MADAMA CRISTINA,114 scala B,8,10126,7.67415830095989,45.0458492723987
80525,Torino,VIA MADAMA CRISTINA,75,8,10125,7.67897900308727,45.0520327023629
85465,Torino,VIA MADAMA CRISTINA,76,8,10126,7.67760733034635,45.0504418202326
85461,Torino,VIA MADAMA CRISTINA,78 scala B,8,10126,7.67737683345941,45.0502693140696
80514,Torino,VIA MADAMA CRISTINA,80 scala A,8,10126,7.67716443778384,45.049938000668
38491,Torino,VIA LOMBARDORE,4,6,10154,7.6917309691633,45.0879841234557
38496,Torino,VIA LOMBARDORE,6,6,10154,7.69183106409035,45.0881349778683
38476,Torino,VIA LOMBARDORE,11,6,10154,7.6917605249474,45.0882385447328
38455,Torino,VIA LOMBARDORE,21,6,10154,7.69212849968161,45.0887943495177
38459,Torino,VIA LOMBARDORE,27,6,10154,7.69230125925113,45.0890554156691
38461,Torino,VIA LOMBARDORE,31,6,10154,7.69247589923047,45.0893193476233
38466,Torino,VIA LOMBRIASCO,3,3,10139,7.6520686682315,45.0708955970314
38469,Torino,VIA LOMBRIASCO,5,3,10139,7.65204173004076,45.0707472902651
38555,Torino,VIA LOMBRIASCO,7,3,10139,7.65201024981977,45.0705738870004
38564,Torino,VIA LOMBRIASCO,20,3,10139,7.65143924640507,45.0692964216452
38566,Torino,VIA LOMBRIASCO,23,3,10139,7.65152401771821,45.0689597580171
55185,Torino,VIA LESEGNO,86,2,10136,7.64179618514819,45.0468458956384
37632,Torino,VIA LESNA,7 scala A,3,10142,7.62537769629422,45.059095420609
37637,Torino,VIA LESNA,17,3,10142,7.6252861149156,45.0585260057038
133900,Torino,VIA LESSOLO,14 scala B,7,10153,7.71253584958148,45.0706284216383
37596,Torino,VIA LESSOLO,19,7,10153,7.71187303685158,45.0712339928337
37601,Torino,VIA LESSOLO,25,7,10153,7.71144125506452,45.0717354156476
37604,Torino,VIA LESSOLO,26,7,10153,7.7119382581146,45.0714160237744
37469,Torino,VIA LERA,21,3,10139,7.63943837512186,45.0738142482416
37509,Torino,VIA LERA,27,3,10139,7.63882573737189,45.073853593998
123033,Torino,VIA LERA,29 scala A,3,10139,7.63862583767355,45.0738220362657
123034,Torino,VIA LERA,29 scala B,3,10139,7.63852557019502,45.0738281952362
81211,Torino,VIA MANTOVA,11,7,10153,7.69716084400701,45.0766793293241
81183,Torino,VIA MANTOVA,16,7,10153,7.6971093885757,45.0765379550026
85578,Torino,VIA MANTOVA,24,7,10153,7.69770350579893,45.0758928711213
81232,Torino,VIA MANTOVA,28,7,10153,7.69799028918583,45.0755878857579
85585,Torino,VIA MANTOVA,31,7,10153,7.69836539375369,45.0753778936549
85587,Torino,VIA MANTOVA,34,7,10153,7.69825583284772,45.0752988966761
81245,Torino,VIA MANTOVA,36,7,10153,7.69845448419303,45.0750826977846
81216,Torino,VIA ALDO MANUZIO,5,5,10147,7.6842246317642,45.0990695644855
81220,Torino,VIA ALDO MANUZIO,12,5,10147,7.68445477862037,45.0992848725001
124654,Torino,VIA ALESSANDRO MANZONI,2 scala C,1,10122,7.67164177107487,45.0752253724688
81070,Torino,VIA PASQUALE STANISLAO MANCINI,8,8,10131,7.69998984581571,45.0611382871401
81075,Torino,VIA PASQUALE STANISLAO MANCINI,12,8,10131,7.69980315458681,45.060994050711
80472,Torino,VIA MADAMA CRISTINA,89 scala A,8,10126,7.67794606011757,45.0504479659234
122138,Torino,VIA MADAMA CRISTINA,92 scala B,8,10126,7.67602597399416,45.0485346250083
80107,Torino,VIA MADAMA CRISTINA,49,8,10125,7.68066047505574,45.0544285304754
80108,Torino,VIA MADAMA CRISTINA,51,8,10125,7.68053940028087,45.0542565658826
85390,Torino,VIA MADAMA CRISTINA,52,8,10125,7.67997489221328,45.0538159456041
80109,Torino,VIA MADAMA CRISTINA,54,8,10125,7.67984706710971,45.0536347507582
80110,Torino,VIA MADAMA CRISTINA,55,8,10125,7.68022739974828,45.0538162301378
80136,Torino,VIA MADAMA CRISTINA,59,8,10125,7.6800350029024,45.0535461584507
80138,Torino,VIA MADAMA CRISTINA,60,8,10125,7.6793710246634,45.052956525419
80114,Torino,VIA MADAMA CRISTINA,62 scala C,8,10125,7.67913338774389,45.0528895197963
80117,Torino,VIA MADAMA CRISTINA,63,8,10125,7.67990314446551,45.0533534544358
85391,Torino,VIA MADAMA CRISTINA,64,8,10125,7.67881559483065,45.0521647852797
38737,Torino,VIA LOMBRIASCO,25,3,10139,7.65147859066259,45.0688231420485
38446,Torino,CORSO LOMBARDIA,162,5,10149,7.65403904095434,45.1008546333278
38447,Torino,CORSO LOMBARDIA,163,5,10151,7.65212213183063,45.1004703608642
38448,Torino,CORSO LOMBARDIA,164,5,10149,7.6541164602021,45.1008870068112
38540,Torino,CORSO LOMBARDIA,169 scala A,5,10151,7.65273502495936,45.101599035155
38543,Torino,CORSO LOMBARDIA,169 scala D,5,10151,7.65259039509501,45.1010538687386
38547,Torino,CORSO LOMBARDIA,175 bis,5,10151,7.653195468799,45.1009206343061
38550,Torino,CORSO LOMBARDIA,181,5,10151,7.65355074232927,45.1010693284015
38551,Torino,CORSO LOMBARDIA,183,5,10151,7.6536460586743,45.1011092226176
55258,Torino,CORSO LOMBARDIA,185,5,10151,7.65380343842586,45.1011750982295
52418,Torino,CORSO LOMBARDIA,202,5,10149,7.660270650739,45.1033910160125
38508,Torino,CORSO LOMBARDIA,225,5,10151,7.66023689073398,45.1038675480363
38511,Torino,CORSO LOMBARDIA,231,5,10151,7.66068253886064,45.1040541871441
37517,Torino,VIA LERA,31,3,10139,7.63827368250144,45.0738930378315
37518,Torino,VIA LERA,32,3,10139,7.6384142436193,45.0740191721135
37522,Torino,VIA LERA,34,3,10139,7.63827010272414,45.0740293085735
37492,Torino,VIA LESEGNO,33,2,10136,7.64309149773119,45.051140238857
37497,Torino,VIA LESEGNO,40 scala A,2,10136,7.64269635973111,45.0507679189967
37500,Torino,VIA LESEGNO,43,2,10136,7.64291024974975,45.050433407561
37526,Torino,VIA LESEGNO,51,2,10136,7.64274366273297,45.0497425842923
37528,Torino,VIA LESEGNO,53,2,10136,7.64269119635216,45.0495399876743
37531,Torino,VIA LESEGNO,55,2,10136,7.64260073763724,45.0492272706842
55177,Torino,VIA LESEGNO,65,2,10136,7.64240663428535,45.0484771039893
37544,Torino,VIA LESEGNO,68,2,10136,7.64222988983313,45.0485380239957
87519,Torino,VIA PASQUALE STANISLAO MANCINI,21,8,10131,7.69936314151439,45.0604945367744
81170,Torino,VIA PASQUALE STANISLAO MANCINI,23,8,10131,7.69916490293011,45.0603415890763
81174,Torino,VIA PASQUALE STANISLAO MANCINI,25,8,10131,7.69904697846753,45.0602506240516
81177,Torino,STRADA ALLA MANIFATTURA TABACCHI,5,6,10154,7.71477494237928,45.0878311986499
81135,Torino,PIAZZA GIUSEPPE MANNO,9,5,10151,7.6551602924274,45.1065288968078
80872,Torino,VIA MALTA,59,3,10141,7.64634387804948,45.0556770376324
80879,Torino,VIA GOFFREDO MAMELI,4,7,10152,7.68354531865574,45.0783040177639
80542,Torino,VIA MADAMA CRISTINA,69 scala B,8,10125,7.67952948880962,45.0526596790344
85467,Torino,VIA MADAMA CRISTINA,70,8,10126,7.67817343855945,45.0512509465015
80547,Torino,VIA MADAMA CRISTINA,72,8,10126,7.67804541424714,45.0510686997089
81335,Torino,VIA MADAMA CRISTINA,26 scala A,8,10125,7.68180627011781,45.0568995082809
85387,Torino,VIA MADAMA CRISTINA,29,8,10125,7.68228004319026,45.056736481373
80070,Torino,VIA MADAMA CRISTINA,33,8,10125,7.68201169489424,45.0563551839388
81338,Torino,VIA MADAMA CRISTINA,34 scala B,8,10125,7.68146789808036,45.0561528294479
52399,Torino,CORSO LOMBARDIA,132,5,10149,7.64951323932398,45.0987698092529
38391,Torino,CORSO LOMBARDIA,135 int. 1,5,10151,7.64940723002134,45.0997680060427
38379,Torino,CORSO LOMBARDIA,145,5,10151,7.6505539364885,45.099790852951
38385,Torino,CORSO LOMBARDIA,149,5,10151,7.65079062863648,45.0998967824063
38386,Torino,CORSO LOMBARDIA,150,5,10149,7.65242613623064,45.1001816365058
38388,Torino,CORSO LOMBARDIA,152,5,10149,7.65253403989898,45.1002266491438
38429,Torino,CORSO LOMBARDIA,153 int. 15,5,10151,7.65109408075277,45.1012232131141
52401,Torino,CORSO LOMBARDIA,153 int. 21,5,10151,7.65107131542974,45.101463964823
38440,Torino,CORSO LOMBARDIA,158,5,10149,7.65377310222824,45.1007434418954
38441,Torino,CORSO LOMBARDIA,160,5,10149,7.65387469977293,45.1007859214503
37449,Torino,VIA MARIO LEONI,11,8,10134,7.65647999764645,45.0405181372882
37451,Torino,VIA MARIO LEONI,13,8,10134,7.65659838319067,45.0404774821551
37425,Torino,VIA MARIO LEONI,19,8,10134,7.65707318375389,45.0403144274835
52243,Torino,CORSO LEPANTO,2,1,10134,7.66197822325737,45.0471016484395
37431,Torino,CORSO LEPANTO,4,1,10134,7.66177581596211,45.0472224389414
37433,Torino,CORSO LEPANTO,6,1,10134,7.66155317736358,45.0473552973845
121561,Torino,CORSO LEPANTO,12,1,10134,7.66104760369061,45.0476570062241
37488,Torino,VIA LERA,9,3,10139,7.64083197177988,45.0737475874443
37380,Torino,VIA LEMIE,45,5,10149,7.66653882336378,45.0961375183112
37382,Torino,VIA LEMIE,46,5,10149,7.66639495819954,45.0963077799167
37383,Torino,VIA LEMIE,47,5,10149,7.66649437343779,45.0959931068627
52234,Torino,VIA LEMIE,51,5,10149,7.66640722204073,45.0957100024074
37358,Torino,VIA LEMIE,52 scala C,5,10149,7.66594621694672,45.0957099825172
37360,Torino,VIA LEMIE,52 scala F,5,10149,7.66607685497308,45.0955625123122
52229,Torino,VIA FRANCESCO LEMMI,1,6,10155,7.69747370854371,45.107863588398
81127,Torino,VIA GOFFREDO MAMELI,11,7,10152,7.68358566104901,45.0792295510272
81106,Torino,VIA GOFFREDO MAMELI,18,7,10152,7.68373358649216,45.0793746269353
81083,Torino,VIA LUCIANO MANARA,6 scala B,8,10133,7.69380815525726,45.0565719002253
81086,Torino,VIA LUCIANO MANARA,7 scala A,8,10133,7.69415319337755,45.0561843054773
85561,Torino,VIA LUCIANO MANARA,10,8,10133,7.69391092427,45.0562127438192
85562,Torino,VIA LUCIANO MANARA,12 bis,8,10133,7.69398558387368,45.0552182987471
87512,Torino,VIA PASQUALE STANISLAO MANCINI,4,8,10131,7.70058366059501,45.0615973216184
125805,Torino,VIA MALTA,15 scala B,3,10141,7.64816500045076,45.060617187523
85537,Torino,VIA MALTA,16,3,10141,7.64756488742633,45.059683430587
80051,Torino,VIA MADAMA CRISTINA,37 scala A,8,10125,7.68188334663439,45.0560434203699
80098,Torino,VIA MADAMA CRISTINA,44,8,10125,7.68064793546395,45.0547749899125
85389,Torino,VIA MADAMA CRISTINA,47,8,10125,7.68087199558292,45.0547298871128
87436,Torino,VIA MADAMA CRISTINA,6,8,10125,7.68434069699701,45.0600357609351
79984,Torino,VIA MADAMA CRISTINA,8,8,10125,7.6841060596641,45.0596968412797
79987,Torino,VIA MADAMA CRISTINA,9,8,10125,7.68432042354181,45.0596454988084
80031,Torino,VIA MADAMA CRISTINA,11 scala A,8,10125,7.68425369964631,45.0593799700289
80033,Torino,VIA MADAMA CRISTINA,11 scala C,8,10125,7.68449336437582,45.0592582098749
85376,Torino,VIA MADAMA CRISTINA,12,8,10125,7.68391034234303,45.0594170792291
85378,Torino,VIA MADAMA CRISTINA,15 scala A,8,10125,7.68347566597929,45.0580961540493
80010,Torino,VIA MADAMA CRISTINA,16,8,10125,7.68298361211956,45.0580969521997
80015,Torino,VIA MADAMA CRISTINA,17 scala B,8,10125,7.68328535101113,45.0578552867715
38443,Torino,CORSO LOMBARDIA,161,5,10151,7.65196022803337,45.1004019180426
52384,Torino,VIA LODI,18,7,10152,7.69034505481593,45.0841180089554
38319,Torino,VIA LODI,19,7,10152,7.69142429761428,45.0839984254464
38296,Torino,VIA LODI,27,7,10152,7.69233970211961,45.0837066788985
52378,Torino,VIA LODOVICA,11,8,10131,7.70284635074479,45.0626645423805
38366,Torino,CORSO LOMBARDIA,115,5,10151,7.64808898328815,45.0978246727645
122865,Torino,CORSO LOMBARDIA,121 scala B,5,10151,7.64849171634799,45.0983753667796
134464,Torino,CORSO LOMBARDIA,123 scala A,5,10151,7.64835258124283,45.0986168110731
134465,Torino,CORSO LOMBARDIA,123 scala B,5,10151,7.64837759645776,45.0986479380259
122878,Torino,CORSO LOMBARDIA,131 int. 4,5,10151,7.64917964937403,45.0997361035202
37367,Torino,VIA FRANCESCO LEMMI,4,6,10155,7.69777081765319,45.1076825232951
37370,Torino,VIA FRANCESCO LEMMI,7,6,10155,7.69817158484044,45.1077727800679
37341,Torino,VIA RUGGERO LEONCAVALLO,3,6,10154,7.69646497979735,45.0851225405046
37346,Torino,VIA RUGGERO LEONCAVALLO,7,6,10154,7.69667306003145,45.0852165622505
124603,Torino,VIA RUGGERO LEONCAVALLO,9,6,10154,7.69680767644378,45.0852773750193
134459,Torino,VIA RUGGERO LEONCAVALLO,27,6,10154,7.69849686000183,45.0860339268167
52228,Torino,VIA RUGGERO LEONCAVALLO,45 scala B,6,10154,7.69990096935247,45.0868464395521
37356,Torino,VIA RUGGERO LEONCAVALLO,45 scala E,6,10154,7.70068429612596,45.0871999413999
37325,Torino,VIA RUGGERO LEONCAVALLO,57 scala B,6,10154,7.70212254404403,45.0881303415983
52224,Torino,VIA RUGGERO LEONCAVALLO,65,6,10154,7.70315966238531,45.0881803370135
37164,Torino,VIA LEGNANO,37,1,10129,7.66724161141242,45.0618533508099
37166,Torino,VIA LEGNANO,39,1,10129,7.66687319144091,45.0619861830432
52197,Torino,VIA LEGNANO,40,1,10129,7.66717651971309,45.0619996888855
37172,Torino,VIA LEGNANO,45,1,10129,7.66565295374913,45.0618258588883
37147,Torino,VIA LEMIE,5,5,10149,7.66750458678412,45.099474140604
80915,Torino,VIA MALTA,22,3,10141,7.64736325454974,45.0591175676567
80923,Torino,VIA MALTA,29,3,10141,7.64763919297883,45.0591930121841
80927,Torino,VIA MALTA,31,3,10141,7.64758747711269,45.0590464000161
80900,Torino,VIA MALTA,33,3,10141,7.64754395254393,45.0589229923786
80911,Torino,VIA MALTA,36 int. 8 bis,3,10141,7.64602909293372,45.0575442988734
80882,Torino,VIA MALTA,36 int. 11 int. B,3,10141,7.6455873499047,45.056952175131
80883,Torino,VIA MALTA,36 int. 12,3,10141,7.64525735258146,45.0574127101924
80885,Torino,VIA MALTA,36 int. 14,3,10141,7.64510877907654,45.0574386548433
80887,Torino,VIA MALTA,39,3,10141,7.64741091334123,45.0586886128394
80891,Torino,VIA MALTA,42,3,10141,7.6464269908706,45.0565816927783
80864,Torino,VIA MALTA,47,3,10141,7.64677980913244,45.0569126388091
80867,Torino,VIA MALTA,49,3,10141,7.6467409166882,45.0567943627149
80869,Torino,VIA MALTA,51,3,10141,7.64671525016924,45.0567211081798
80979,Torino,VIA MALONE,26,6,10154,7.69358336616078,45.0891230302362
80990,Torino,VIA MALONE,29,6,10154,7.69466443633693,45.0889594366758
85374,Torino,VIA MADAMA CRISTINA,19,8,10125,7.68309743389765,45.0579000639689
81333,Torino,VIA MADAMA CRISTINA,20 scala A,8,10125,7.68258692368705,45.0576798341491
80002,Torino,VIA MADAMA CRISTINA,21 scala B,8,10125,7.68289484596009,45.0573657588213
80078,Torino,VIA MADAMA CRISTINA,24,8,10125,7.68220734735835,45.0569913107517
85352,Torino,VIA MACERATA,21,4,10144,7.66991956852993,45.0843374699244
79888,Torino,VIA MACERATA,22,4,10144,7.67008037363177,45.0843739455256
79963,Torino,VIA GIUSEPPE MACHERIONE,9,5,10148,7.6554285915752,45.1190846841163
79967,Torino,VIA GIUSEPPE MACHERIONE,12,5,10148,7.65517627576692,45.1191605765435
85367,Torino,VIA GIUSEPPE MACHERIONE,16 int. 3,5,10148,7.65439463080884,45.119399715632
79975,Torino,VIA GIUSEPPE MACHERIONE,20,5,10148,7.65405309330882,45.1188582542889
79946,Torino,LUNGO PO NICOLO' MACHIAVELLI,25,7,10124,7.70532672151388,45.0682706038783
79952,Torino,LUNGO PO NICOLO' MACHIAVELLI,33,7,10124,7.70620987452249,45.0685364794079
33275,Torino,VIA GASPARE GORRESIO,42,5,10149,7.65566948153297,45.100488071806
33276,Torino,VIA GASPARE GORRESIO,43,5,10149,7.65557769938409,45.1003690688868
33282,Torino,VIA GASPARE GORRESIO,47,5,10149,7.6553037267416,45.1004511700701
33106,Torino,VIA GORIZIA,132,2,10137,7.64006333256911,45.0434867417081
33108,Torino,VIA GORIZIA,133,2,10137,7.64021128063645,45.0423935706727
33118,Torino,VIA GORIZIA,141 scala B,2,10137,7.64026044657924,45.0416029525297
33160,Torino,VIA GORIZIA,148,2,10137,7.63985577941153,45.0421671278096
51541,Torino,VIA GORIZIA,149 scala B,2,10137,7.64023457528067,45.0412211484145
33221,Torino,VIA GORIZIA,156,2,10137,7.6397261636856,45.041346600226
33225,Torino,VIA GORIZIA,164 scala B,2,10137,7.63953109062899,45.0407411919803
51549,Torino,VIA GORIZIA,167,2,10137,7.63982157321013,45.0399426555365
33235,Torino,VIA GORIZIA,174,2,10137,7.63953839655613,45.0401592319227
35923,Torino,VIA LANUSEI,5,2,10137,7.64124667396382,45.0385280123391
35925,Torino,VIA LANUSEI,8,2,10137,7.64108847785513,45.0386250865695
35928,Torino,VIA LANUSEI,13,2,10137,7.64112023530769,45.0382414567739
35934,Torino,VIA LANUSEI,18,2,10137,7.64086953693814,45.0381266347234
35937,Torino,VIA LANUSEI,20,2,10137,7.64083599905054,45.0380502603439
36337,Torino,VIA LANUSEI,23,2,10137,7.64086134127283,45.0376566522436
36039,Torino,VIA VINCENZO LANCIA,113,3,10141,7.62909685910709,45.0624922780998
36041,Torino,VIA VINCENZO LANCIA,116 int. 1,3,10141,7.63205115147168,45.0624220546355
36042,Torino,VIA VINCENZO LANCIA,116 int. 2,3,10141,7.6322466283412,45.062398651211
36043,Torino,VIA VINCENZO LANCIA,116 int. 3,3,10141,7.63235562330253,45.0624917566925
36044,Torino,VIA VINCENZO LANCIA,116 int. 4,3,10141,7.63237956964937,45.0625427324252
36045,Torino,VIA VINCENZO LANCIA,116 int. 5,3,10141,7.63238688566328,45.0626418124311
36047,Torino,VIA VINCENZO LANCIA,116 int. 8,3,10141,7.63169980326555,45.0628100247805
52012,Torino,VIA VINCENZO LANCIA,116 int. 11,3,10141,7.6315913215415,45.0624649204865
36033,Torino,VIA VINCENZO LANCIA,124 int. 3,3,10141,7.63091852016398,45.0626366659383
52010,Torino,VIA VINCENZO LANCIA,124 int. 6,3,10141,7.63118071994866,45.0628649884375
36008,Torino,VIA VINCENZO LANCIA,138 int. 2 int. C,3,10141,7.62905810848232,45.062984471063
135461,Torino,VIA VINCENZO LANCIA,138 int. 10 int. A,3,10141,7.62914287207625,45.0631641174203
135466,Torino,VIA VINCENZO LANCIA,138 int. 12 int. E,3,10141,7.62949681007985,45.0637996520257
36013,Torino,LARGO VINCENZO LANCIA,46,3,10141,7.63951964488614,45.0619410560855
52005,Torino,LARGO VINCENZO LANCIA,50,3,10141,7.639276212523,45.061898574715
35139,Torino,VIA ISONZO,62,3,10141,7.63888244152795,45.0640575541384
133690,Torino,VIA ISONZO,65 scala A,3,10141,7.63917094049288,45.0637487126077
35145,Torino,VIA ISONZO,66,3,10141,7.63883286018494,45.063894562358
35147,Torino,VIA ISONZO,69,3,10141,7.63897095915827,45.0635893294481
35271,Torino,VIA ISONZO,74,3,10141,7.63869668312513,45.0634471897911
56346,Torino,VIA ISONZO,75 scala B,3,10141,7.63888129054061,45.0630918585009
137200,Torino,VIA ISONZO,76,3,10141,7.63865836475294,45.0633213114268
35279,Torino,VIA ISONZO,80,3,10141,7.63856936579272,45.0630301235722
134450,Torino,VIA ISONZO,81,3,10141,7.63871179497541,45.0626992155232
134451,Torino,VIA ISONZO,85 scala A,3,10141,7.63878473813866,45.0625939704412
134452,Torino,VIA ISONZO,85 scala B,3,10141,7.63877791349077,45.062562926773
51885,Torino,VIA ISONZO,86,3,10141,7.63849675089261,45.062782357451
35254,Torino,VIA ISONZO,89,3,10141,7.63857771608002,45.062276505564
35260,Torino,VIA ISONZO,92,3,10141,7.63838608315386,45.0624131178268
35262,Torino,VIA ISONZO,95,3,10141,7.63848649656567,45.0619724636063
51875,Torino,VIA INVORIO,20,4,10146,7.62700031186024,45.0815649457124
34341,Torino,CORSO GROSSETO,160,5,10148,7.67264764554406,45.1051019621819
34345,Torino,CORSO GROSSETO,163,5,10147,7.67578539774668,45.1044208491359
34347,Torino,CORSO GROSSETO,165,5,10147,7.67556524429622,45.1044335087634
34327,Torino,CORSO GROSSETO,180,5,10148,7.67081301285528,45.1052073924222
34334,Torino,CORSO GROSSETO,186,5,10148,7.67049040547544,45.1052260059846
34095,Torino,CORSO GROSSETO,90 int. 11,5,10148,7.6802290051123,45.1050270681177
51690,Torino,CORSO GROSSETO,90 int. 12,5,10148,7.68024752038694,45.1051579957747
34166,Torino,CORSO GROSSETO,94 int. 14,5,10148,7.67988894327136,45.1049097518893
