schema,table,column,type,pk,fk_to,description
citydb,ng2_material,embodied_carbon,numeric,,,Embodied carbon (kg CO₂eq/kg)
citydb,ng2_material,embodied_carbon_uom,varchar,,,Unit for embodied_carbon
citydb,ng2_material,embodied_energy,numeric,,,Embodied energy (MJ/kg)
citydb,ng2_material,embodied_energy_uom,varchar,,,Unit for embodied_energy
citydb,ng2_material,is_ventilated,numeric,,,1 if this is a ventilated air gap (Gas subtype)
citydb,ng2_material,r_value,numeric,,,Thermal resistance of air gap (m²K/W) (Gas subtype)
citydb,ng2_material,r_value_uom,varchar,,,Unit for r_value
citydb,ng2_material,library_id,bigint,,citydb.ng2_library.id,FK to the material library
citydb,ng2_occupants,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject
citydb,ng2_occupants,type,varchar,,,Occupant type (residential commercial etc.)
citydb,ng2_occupants,type_codespace,varchar,,,Codespace for type
citydb,ng2_occupants,num_of_occupants,integer,,,Number of occupants
citydb,ng2_occupants,heat_diss,numeric,,,Total metabolic heat dissipation per occupant (W)
citydb,ng2_occupants,heat_diss_uom,varchar,,,Unit for heat_diss
citydb,ng2_occupants,heat_diss_conv,numeric,,,Convective metabolic heat dissipation (W)
citydb,ng2_occupants,heat_diss_conv_uom,varchar,,,Unit
citydb,ng2_occupants,heat_diss_lat,numeric,,,Latent metabolic heat dissipation (W)
citydb,ng2_occupants,heat_diss_lat_uom,varchar,,,Unit
citydb,ng2_occupants,heat_diss_rad,numeric,,,Radiant metabolic heat dissipation (W)
citydb,ng2_occupants,heat_diss_rad_uom,varchar,,,Unit
citydb,ng2_occupants,avg_diet_type,varchar,,,Average diet type of occupants
citydb,ng2_occupants,avg_diet_type_codespace,varchar,,,Codespace for avg_diet_type
citydb,ng2_occupants,avg_income_level,varchar,,,Average income level
citydb,ng2_occupants,avg_income_level_codespace,varchar,,,Codespace for avg_income_level
citydb,ng2_occupants,avg_instr_level,varchar,,,Average instruction/education level
citydb,ng2_occupants,avg_instr_level_codespace,varchar,,,Codespace for avg_instr_level
citydb,ng2_occupants,schedule_id,bigint,,citydb.ng2_schedule.id,FK to occupancy schedule
citydb,ng2_occupants,building_partition_id,bigint,,citydb.ng2_building_partition.id,FK to the usage zone or building unit
citydb,ng2_opening,id,bigint,yes,,PK — energy extension of a window or door opening (no FK enforced in v5)
citydb,ng2_opening,area,numeric,,,Opening area (m²)
citydb,ng2_opening,area_uom,varchar,,,Unit for area
citydb,ng2_opening,azimuth,numeric,,,Azimuth angle of the opening (°)
citydb,ng2_opening,azimuth_uom,varchar,,,Unit for azimuth
citydb,ng2_opening,inclination,numeric,,,Inclination/tilt angle (°)
citydb,ng2_opening,inclination_uom,varchar,,,Unit for inclination
citydb,ng2_opening,ground_view_factor,numeric,,,Ground view factor [0–1] — fraction of hemisphere facing ground
citydb,ng2_opening,ground_view_factor_uom,varchar,,,Unit for ground_view_factor
citydb,ng2_opening,sky_view_factor,numeric,,,Sky view factor [0–1] — fraction of hemisphere facing sky
citydb,ng2_opening,sky_view_factor_uom,varchar,,,Unit for sky_view_factor
citydb,ng2_optical_property,id,bigint,yes,,Auto-generated PK (from ng2_optical_property_seq)
citydb,ng2_optical_property,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (Reflectance Transmittance Emittance)
citydb,ng2_optical_property,fraction,numeric,,,Optical fraction value [0–1]
citydb,ng2_optical_property,fraction_uom,varchar,,,Unit for fraction
citydb,ng2_optical_property,surface,varchar,,,Which surface this applies to (exterior interior)
citydb,ng2_optical_property,wavelength_range,varchar,,,Wavelength range (solar thermal visible)
citydb,ng2_optical_property,layered_construction_id,bigint,,citydb.ng2_layered_construction.id,FK to the construction this optical property belongs to
citydb,ng2_qualified_attribute,id,bigint,yes,,Auto-generated PK (from ng2_qualified_attribute_seq)
citydb,ng2_qualified_attribute,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (attribute type)
citydb,ng2_qualified_attribute,type,varchar,,,Attribute type name (e.g. heatedFloorArea primaryEnergyDemand)
citydb,ng2_qualified_attribute,type_codespace,varchar,,,Codespace for type
citydb,ng2_qualified_attribute,value,numeric,,,Numeric value of the attribute
citydb,ng2_qualified_attribute,value_uom,varchar,,,Unit of measure for value
citydb,ng2_qualified_attribute,description,varchar,,,Free-text description
citydb,ng2_qualified_attribute,source,varchar,,,Data source or method
citydb,ng2_qualified_attribute,building_id,bigint,,citydb.ng2_building.id,FK to the building (if attribute is at building level)
citydb,ng2_qualified_attribute,building_partition_id,bigint,,citydb.ng2_building_partition.id,FK to the zone/unit (if attribute is at partition level)
citydb,ng2_refurbishment_measure,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject
citydb,ng2_refurbishment_measure,type,varchar,,,Refurbishment type (wallInsulation roofInsulation windowReplacement etc.)
citydb,ng2_refurbishment_measure,type_codespace,varchar,,,Codespace for type
citydb,ng2_refurbishment_measure,start_date,date,,,Date when the refurbishment started
citydb,ng2_refurbishment_measure,end_date,date,,,Date when the refurbishment was completed
citydb,ng2_refurbishment_measure,library_code,varchar,,,Code referencing this measure in a library
citydb,ng2_refurbishment_measure,library_code_codespace,varchar,,,Codespace for library_code
citydb,ng2_refurbishment_measure,building_id,bigint,,citydb.ng2_building.id,FK to the building
citydb,ng2_refurbishment_measure,building_partition_id,bigint,,citydb.ng2_building_partition.id,FK to specific zone/unit affected
citydb,ng2_resource,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject — one resource/energy flow record
citydb,ng2_resource,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (Energy Waste Water etc.)
citydb,ng2_resource,type,varchar,,,Resource type
citydb,ng2_resource,type_codespace,varchar,,,Codespace for type
citydb,ng2_resource,enduse,varchar,,,End-use category (heating cooling lighting DHW etc.)
citydb,ng2_resource,enduse_codespace,varchar,,,Codespace for enduse
citydb,ng2_resource,status,varchar,,,Status (measured estimated simulated)
citydb,ng2_resource,operation_type,varchar,,,Consumption or production
citydb,ng2_resource,operation_type_codespace,varchar,,,Codespace for operation_type
citydb,ng2_resource,year,integer,,,Reference year of the data
citydb,ng2_resource,amount_type,varchar,,,Amount type (primaryEnergy finalEnergy)
citydb,ng2_resource,amount_type_codespace,varchar,,,Codespace for amount_type
citydb,ng2_resource,amount,numeric,,,Amount value
citydb,ng2_resource,amount_uom,varchar,,,Unit for amount (e.g. kWh kWh/m²a MJ)
citydb,ng2_resource,time_series_id,bigint,,citydb.ng2_time_series.id,FK to time-series data (if amount is time-varying)
citydb,ng2_resource,is_amount_normalized,numeric,,,1 if amount is area-normalised
citydb,ng2_resource,normalization_param,varchar,,,Parameter used for normalization (e.g. conditionedFloorArea)
citydb,ng2_resource,normalization_value,numeric,,,Value of the normalization parameter
citydb,ng2_resource,normalization_value_uom,varchar,,,Unit for normalization_value
citydb,ng2_resource,co2_equivalent,numeric,,,CO₂ equivalent of this resource consumption
citydb,ng2_resource,co2_equivalent_uom,varchar,,,Unit for co2_equivalent (e.g. kg CO₂eq)
citydb,ng2_resource,costs_money,numeric,,,Cost associated with this resource
citydb,ng2_resource,costs_money_uom,varchar,,,Currency/unit for costs_money
citydb,ng2_resource,yields_money,numeric,,,Revenue from this resource (e.g. feed-in tariff)
citydb,ng2_resource,yields_money_uom,varchar,,,Currency/unit for yields_money
citydb,ng2_resource,energy_carrier,varchar,,,Energy carrier type (naturalGas electricity districtHeat etc.)
citydb,ng2_resource,energy_carrier_codespace,varchar,,,Codespace for energy_carrier
citydb,ng2_resource,maximum_load,numeric,,,Peak load (W)
citydb,ng2_resource,maximum_load_uom,varchar,,,Unit for maximum_load
citydb,ng2_resource,source,varchar,,,Source of the resource data
citydb,ng2_resource,source_codespace,varchar,,,Codespace for source
citydb,ng2_resource,is_dangerous,numeric,,,1 if waste is classified as hazardous (Waste subtype)
citydb,ng2_resource,is_recyclable,numeric,,,1 if waste is recyclable (Waste subtype)
citydb,ng2_resource,cityobject_id,bigint,,citydb.ng2_cityobject.id,FK to the energy city object this resource belongs to
citydb,ng2_schedule,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject
citydb,ng2_schedule,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (DualValueSchedule ConstantValueSchedule IrregularTimeSeries etc.)
citydb,ng2_schedule,library_code,varchar,,,Library reference code
citydb,ng2_schedule,library_code_codespace,varchar,,,Codespace for library_code
citydb,ng2_schedule,type,varchar,,,Schedule type name
citydb,ng2_schedule,type_codespace,varchar,,,Codespace for type
citydb,ng2_schedule,start_time,time,,,Start time of the daily cycle
citydb,ng2_schedule,start_day,integer,,,Start day of week (1=Mon 7=Sun)
citydb,ng2_schedule,start_month,integer,,,Start month (1–12)
citydb,ng2_schedule,start_year,integer,,,Start year
citydb,ng2_schedule,time_interval,numeric,,,Duration of one time step
citydb,ng2_schedule,time_interval_unit,varchar,,,Unit for time_interval (e.g. hour day)
citydb,ng2_schedule,idle_value,numeric,,,Off/idle value for DualValueSchedule
citydb,ng2_schedule,idle_value_uom,varchar,,,Unit for idle_value
citydb,ng2_schedule,usage_value,numeric,,,On/usage value for DualValueSchedule
citydb,ng2_schedule,usage_value_uom,varchar,,,Unit for usage_value
citydb,ng2_schedule,start_usage_time,time,,,Daily start time of usage period
citydb,ng2_schedule,end_usage_time,time,,,Daily end time of usage period
citydb,ng2_schedule,constant_value,numeric,,,Constant value for ConstantValueSchedule
citydb,ng2_schedule,constant_value_uom,varchar,,,Unit for constant_value
citydb,ng2_schedule,time_series_id,bigint,,citydb.ng2_time_series.id,FK to time-series data for detailed schedules
citydb,ng2_schedule,library_id,bigint,,citydb.ng2_library.id,FK to library
citydb,ng2_schedule_component,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject — one periodic component of a composed schedule
citydb,ng2_schedule_component,type,varchar,,,Component type
citydb,ng2_schedule_component,type_codespace,varchar,,,Codespace for type
citydb,ng2_schedule_component,repetitions,integer,,,Number of times this component repeats (default 1)
citydb,ng2_schedule_component,additional_gap,numeric,,,Gap duration after this component before the next
citydb,ng2_schedule_component,additional_gap_unit,varchar,,,Unit for additional_gap
citydb,ng2_schedule_component,parent_schedule_id,bigint,,citydb.ng2_schedule.id,FK to the parent composed schedule
citydb,ng2_schedule_component,schedule_id,bigint,,citydb.ng2_schedule.id,FK to the sub-schedule this component wraps
citydb,ng2_solar_collector,id,bigint,yes,citydb.ng2_device.id,PK shared with ng2_device — solar thermal or PV collector
citydb,ng2_solar_collector,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (SolarThermalSystem PhotovoltaicSystem)
citydb,ng2_solar_collector,type,varchar,,,Collector type (flatPlate evacuatedTube)
citydb,ng2_solar_collector,type_codespace,varchar,,,Codespace for type
citydb,ng2_solar_collector,cell_type,varchar,,,PV cell type (monocrystalline polycrystalline thinFilm)
citydb,ng2_solar_collector,cell_type_codespace,varchar,,,Codespace for cell_type
citydb,ng2_solar_collector,module_area,numeric,,,Gross module area (m²)
citydb,ng2_solar_collector,module_area_uom,varchar,,,Unit for module_area
citydb,ng2_solar_collector,azimuth,numeric,,,Azimuth angle (° from N)
citydb,ng2_solar_collector,azimuth_uom,varchar,,,Unit for azimuth
citydb,ng2_solar_collector,inclination,numeric,,,Tilt angle from horizontal (°)
citydb,ng2_solar_collector,inclination_uom,varchar,,,Unit for inclination
citydb,ng2_solar_collector,aperture_area,numeric,,,Effective aperture area (m²)
citydb,ng2_solar_collector,aperture_area_uom,varchar,,,Unit for aperture_area
citydb,ng2_solar_collector,opt_efficiency,numeric,,,Optical efficiency η0 [0–1]
citydb,ng2_solar_collector,opt_efficiency_uom,varchar,,,Unit for opt_efficiency
citydb,ng2_solar_collector,lin_heat_loss_coeff,numeric,,,Linear heat loss coefficient a1 (W/m²K)
citydb,ng2_solar_collector,quad_heat_loss_coeff,numeric,,,Quadratic heat loss coefficient a2 (W/m²K²)
citydb,ng2_solar_collector,lod2_multi_surface_id,bigint,,citydb.surface_geometry.id,FK to LoD2 surface geometry root
citydb,ng2_solar_collector,lod3_multi_surface_id,bigint,,citydb.surface_geometry.id,FK to LoD3 surface geometry root
citydb,ng2_storage_device,id,bigint,yes,citydb.ng2_device.id,PK shared with ng2_device
citydb,ng2_storage_device,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (ThermalStorageSystem ElectricalStorageSystem)
citydb,ng2_storage_device,medium,varchar,,,Storage medium (water ice phase-change for thermal; lithium-ion for electrical)
citydb,ng2_storage_device,medium_codespace,varchar,,,Codespace for medium
citydb,ng2_storage_device,preparation_temp,numeric,,,Preparation/setpoint temperature (°C) — thermal storage only
citydb,ng2_storage_device,preparation_temp_uom,varchar,,,Unit for preparation_temp
citydb,ng2_storage_device,thm_losses_factor,numeric,,,Thermal loss coefficient (W/K)
citydb,ng2_storage_device,thm_losses_factor_uom,varchar,,,Unit for thm_losses_factor
citydb,ng2_storage_device,volume,numeric,,,Storage volume (m³ for thermal; kWh for electrical)
citydb,ng2_storage_device,volume_uom,varchar,,,Unit for volume
citydb,ng2_storage_device,batt_techn,varchar,,,Battery technology type — electrical storage only
citydb,ng2_storage_device,batt_techn_codespace,varchar,,,Codespace for batt_techn
citydb,ng2_storage_device,power_capacity,numeric,,,Maximum charge/discharge power (W) — electrical storage
citydb,ng2_storage_device,power_capacity_uom,varchar,,,Unit for power_capacity
citydb,ng2_suitability,id,bigint,yes,,Auto-generated PK (from ng2_suitability_seq)
citydb,ng2_suitability,reason,varchar,,,Reason category for suitability assessment
citydb,ng2_suitability,reason_codespace,varchar,,,Codespace for reason
citydb,ng2_suitability,value,numeric,,,Suitability score or fraction [0–1]
citydb,ng2_suitability,value_uom,varchar,,,Unit for value
citydb,ng2_suitability,description,varchar,,,Free-text description of the suitability assessment
citydb,ng2_suitability,schedule_id,bigint,,citydb.ng2_schedule.id,FK to schedule (time-varying suitability)
citydb,ng2_suitability,cityobject_id,bigint,,citydb.ng2_cityobject.id,FK to the city object being assessed
citydb,ng2_them_surf_to_thermal_zone,thematic_surface_id,bigint,yes,citydb.thematic_surface.id,FK to the thematic surface (composite PK)
citydb,ng2_them_surf_to_thermal_zone,thermal_zone_id,bigint,yes,citydb.ng2_building_partition.id,FK to the thermal zone this surface bounds (composite PK)
citydb,ng2_thematic_surface,id,bigint,yes,citydb.thematic_surface.id,PK shared with thematic_surface — energy extension
citydb,ng2_thematic_surface,total_surf_area,numeric,,,Total surface area including openings (m²)
citydb,ng2_thematic_surface,total_surf_area_uom,varchar,,,Unit for total_surf_area
citydb,ng2_thematic_surface,opaque_surf_area,numeric,,,Opaque (non-glazed) surface area (m²)
citydb,ng2_thematic_surface,opaque_surf_area_uom,varchar,,,Unit for opaque_surf_area
citydb,ng2_thematic_surface,open_to_surf_ratio,numeric,,,Ratio of opening area to total area [0–1]
citydb,ng2_thematic_surface,open_to_surf_ratio_uom,varchar,,,Unit for open_to_surf_ratio
citydb,ng2_thematic_surface,thickness,numeric,,,Wall/roof/floor thickness (m)
citydb,ng2_thematic_surface,thickness_uom,varchar,,,Unit for thickness
citydb,ng2_thematic_surface,azimuth,numeric,,,Azimuth of the surface normal (°)
citydb,ng2_thematic_surface,azimuth_uom,varchar,,,Unit for azimuth
citydb,ng2_thematic_surface,inclination,numeric,,,Inclination of the surface from vertical (°)
citydb,ng2_thematic_surface,inclination_uom,varchar,,,Unit for inclination
citydb,ng2_thematic_surface,ground_view_factor,numeric,,,Ground view factor [0–1]
citydb,ng2_thematic_surface,ground_view_factor_uom,varchar,,,Unit for ground_view_factor
citydb,ng2_thematic_surface,sky_view_factor,numeric,,,Sky view factor [0–1]
citydb,ng2_thematic_surface,sky_view_factor_uom,varchar,,,Unit for sky_view_factor
citydb,ng2_thematic_surface,is_adiabatic,numeric,,,1 if this surface has no heat exchange (internal partition)
citydb,ng2_thematic_surface,heat_capacity,numeric,,,Effective heat capacity of the surface assembly (J/m²K)
citydb,ng2_thematic_surface,heat_capacity_uom,varchar,,,Unit for heat_capacity
citydb,ng2_time_series,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject
citydb,ng2_time_series,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (RegularTimeSeries IrregularTimeSeries RemoteSensing etc.)
citydb,ng2_time_series,acquisition_method,varchar,,,How data was acquired (measurement simulation estimation)
citydb,ng2_time_series,acquisition_method_codespace,varchar,,,Codespace for acquisition_method
citydb,ng2_time_series,interpolation_type,varchar,,,Interpolation (continuous instant average etc.)
citydb,ng2_time_series,source,varchar,,,Source of the time-series data
citydb,ng2_time_series,period_begin,timestamptz,,,Start of the covered time period
citydb,ng2_time_series,period_end,timestamptz,,,End of the covered time period
citydb,ng2_time_series,start_time,time,,,Start time of day for regular series
citydb,ng2_time_series,start_day,integer,,,Start day of week/month for regular series
citydb,ng2_time_series,start_month,integer,,,Start month for regular series
citydb,ng2_time_series,temporal_extent,numeric,,,Duration of the series
citydb,ng2_time_series,temporal_extent_unit,varchar,,,Unit for temporal_extent
citydb,ng2_time_series,time_interval,numeric,,,Duration of one time step
citydb,ng2_time_series,time_interval_unit,varchar,,,Unit for time_interval (e.g. second hour day)
citydb,ng2_time_series,values_list,text,,,Inline values as a delimited string
citydb,ng2_time_series,values_list_uom,varchar,,,Unit of the values in values_list
citydb,ng2_time_series,uom,varchar,,,Unit of measure for the series values
citydb,ng2_time_series,file_uri,varchar,,,URI to an external file containing the values
citydb,ng2_time_series,num_of_header_lines,integer,,,Lines to skip at top of external file
citydb,ng2_time_series,field_separator,varchar,,,Field delimiter in external file (e.g. comma semicolon)
citydb,ng2_time_series,record_separator,varchar,,,Record delimiter in external file
citydb,ng2_time_series,value_column_number,integer,,,Column index (1-based) of value in external file
citydb,ng2_time_series,decimal_symbol,varchar,,,Decimal separator (. or ,) in external file
citydb,ng2_time_series,auth_type,varchar,,,Authentication type for remote data source
citydb,ng2_time_series,auth_type_codespace,varchar,,,Codespace for auth_type
citydb,ng2_time_series,base_url,varchar,,,Base URL of the remote sensor/data service
citydb,ng2_time_series,connection_type,varchar,,,Protocol/connection type (OGC-SWE MQTT REST)
citydb,ng2_time_series,connection_type_codespace,varchar,,,Codespace for connection_type
citydb,ng2_time_series,datastream_id,varchar,,,SensorThings API Datastream ID
citydb,ng2_time_series,link_to_observation,varchar,,,URL to an SOS/STA observation
citydb,ng2_time_series,link_to_sensor_description,varchar,,,URL to sensor metadata
citydb,ng2_time_series,mqtt_server,varchar,,,MQTT broker address
citydb,ng2_time_series,mqtt_topic,varchar,,,MQTT topic to subscribe for live data
citydb,ng2_time_series,observation_id,varchar,,,Observation identifier
citydb,ng2_time_series,observation_property,varchar,,,Observed property name
citydb,ng2_time_series,sensor_id,varchar,,,Sensor identifier
citydb,ng2_time_series,sensor_name,varchar,,,Human-readable sensor name
citydb,ng2_urban_function_area,id,bigint,yes,,PK — urban function area (no FK enforced in v5; intended for cityobjectgroup)
citydb,ng2_urban_function_area,type,varchar,,,Urban function type (residential commercial industrial mixed-use etc.)
citydb,ng2_urban_function_area,type_codespace,varchar,,,Codespace for type
citydb,ng2_urban_function_area,code,varchar,,,Code representing the urban function classification
citydb,ng2_urban_function_area,code_codespace,varchar,,,Codespace for code
citydb,ng2_utl_ntw_connection,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject — utility network connection point
citydb,ng2_utl_ntw_connection,network_type,varchar,,,Network type (electricity gas water district-heat telecom)
citydb,ng2_utl_ntw_connection,network_type_codespace,varchar,,,Codespace for network_type
citydb,ng2_utl_ntw_connection,connection_status,varchar,,,Status (connected disconnected unknown)
citydb,ng2_utl_ntw_connection,function_in_network,varchar,,,Role in network (consumer prosumer producer)
citydb,ng2_utl_ntw_connection,function_in_network_codespace,varchar,,,Codespace for function_in_network
citydb,ng2_utl_ntw_connection,usage_in_network,varchar,,,Usage category
citydb,ng2_utl_ntw_connection,usage_in_network_codespace,varchar,,,Codespace for usage_in_network
citydb,ng2_utl_ntw_connection,network_id,varchar,,,External network identifier
citydb,ng2_utl_ntw_connection,network_node_id,varchar,,,Node ID within the network
citydb,ng2_utl_ntw_connection,cityobject_id,bigint,,citydb.ng2_cityobject.id,FK to the energy city object this connection belongs to
citydb,ng2_weather_data,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject
citydb,ng2_weather_data,type,varchar,,,Weather parameter type (airTemperature relativeHumidity globalSolarIrradiance etc.)
citydb,ng2_weather_data,type_codespace,varchar,,,Codespace for type
citydb,ng2_weather_data,value_type,varchar,,,Value type (measured modelled typical)
citydb,ng2_weather_data,value_type_codespace,varchar,,,Codespace for value_type
citydb,ng2_weather_data,yearly_value,numeric,,,Annual aggregate (e.g. yearly irradiance kWh/m²)
citydb,ng2_weather_data,yearly_value_uom,varchar,,,Unit for yearly_value
citydb,ng2_weather_data,library_code,varchar,,,Library reference code
citydb,ng2_weather_data,library_code_codespace,varchar,,,Codespace for library_code
citydb,ng2_weather_data,time_series_id,bigint,,citydb.ng2_time_series.id,FK to time-series data for sub-annual weather data
citydb,ng2_weather_data,cityobject_id,bigint,,citydb.ng2_cityobject.id,FK to the city object (e.g. building site) this weather data applies to
citydb,ng2_weather_data,position,geometry(PointZ),,,3D measurement location (no fixed SRID — use DB CRS)
