row_id,citydb_address,pg_type,attribute_type,geo_role,status,calculator,method,cim_source,logic
209,citydb.thematic_surface.building_id,bigint,fk,GEO-FK,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_id,FK to parent building cityobject.id.
210,citydb.thematic_surface.room_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
211,citydb.thematic_surface.building_installation_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
212,citydb.thematic_surface.lod2_multi_surface_id,bigint,fk,GEO-FK,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_surfaces_lod12,FK to surface_geometry root node for LOD1.2 polygon tree.
213,citydb.thematic_surface.lod3_multi_surface_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
214,citydb.thematic_surface.lod4_multi_surface_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
215,citydb.ng2_address_to_building_unit.address_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
216,citydb.ng2_address_to_building_unit.building_unit_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
217,citydb.ng2_building.id,bigint,fk,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,cim-database/materiale-tabula + tabula_archetype_code,Fill ng2_building.id via tabula_extract_ng2_building from TABULA archetype catalog + component XLS.
218,citydb.ng2_building.type,varchar,text,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,tabula_envelope_json + cim_wizard_building_properties.type,Map usage type and archetype class to ng2_building.type.
219,citydb.ng2_building.type_codespace,varchar,text,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,cim-database/materiale-tabula + tabula_archetype_code,Fill ng2_building.type_codespace via tabula_extract_ng2_building from TABULA archetype catalog + component XLS.
220,citydb.ng2_building.is_protected,numeric,numeric,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,cim-database/materiale-tabula + tabula_archetype_code,Fill ng2_building.is_protected via tabula_extract_ng2_building from TABULA archetype catalog + component XLS.
221,citydb.ng2_building.constr_weight,varchar,text,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,TABULA_Codici_costruzioni.xlsx + const_tabula,Derive light/medium/heavy from TABULA period; fallback envelope_efficiency.
222,citydb.ng2_building.constr_weight_codespace,varchar,text,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,cim-database/materiale-tabula + tabula_archetype_code,Fill ng2_building.constr_weight_codespace via tabula_extract_ng2_building from TABULA archetype catalog + component XLS.
223,citydb.ng2_building.attic_thm_status,varchar,text,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,cim-database/materiale-tabula + tabula_archetype_code,Fill ng2_building.attic_thm_status via tabula_extract_ng2_building from TABULA archetype catalog + component XLS.
224,citydb.ng2_building.basement_thm_status,varchar,text,GEO-NONE,PLANNED-1,building_tabula_archetype_calculator,tabula_extract_ng2_building,cim-database/materiale-tabula + tabula_archetype_code,Fill ng2_building.basement_thm_status via tabula_extract_ng2_building from TABULA archetype catalog + component XLS.
225,citydb.ng2_building_partition.id,bigint,fk,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
226,citydb.ng2_building_partition.objectclass_id,integer,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.objectclass_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
227,citydb.ng2_building_partition.heat_capacity,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[].volume_m3,Use zone volume_m3 as effective thermal capacity proxy.
228,citydb.ng2_building_partition.heat_capacity_uom,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.heat_capacity_uom via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
229,citydb.ng2_building_partition.infiltration_rate,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.infiltration_rate via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
230,citydb.ng2_building_partition.infiltration_rate_uom,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.infiltration_rate_uom via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
231,citydb.ng2_building_partition.is_cooled,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[].is_cooled,Copy cooled flag per storey thermal zone.
232,citydb.ng2_building_partition.is_heated,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[].is_heated,Copy heated flag per storey thermal zone.
233,citydb.ng2_building_partition.coincides_with_lod2_hull,numeric,integer,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.coincides_with_lod2_hull via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
234,citydb.ng2_building_partition.coincides_with_lod3_hull,numeric,integer,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.coincides_with_lod3_hull via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
235,citydb.ng2_building_partition.type,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[].usage,One thermal zone per building level (storey); type from zone usage.
236,citydb.ng2_building_partition.type_codespace,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.type_codespace via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
237,citydb.ng2_building_partition.is_primary,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.is_primary via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
238,citydb.ng2_building_partition.num_of_building_units,integer,integer,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.num_of_building_units via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
239,citydb.ng2_building_partition.int_heat_gains,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
240,citydb.ng2_building_partition.int_heat_gains_uom,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_uom via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
241,citydb.ng2_building_partition.int_heat_gains_conv,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_conv via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
242,citydb.ng2_building_partition.int_heat_gains_conv_uom,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_conv_uom via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
243,citydb.ng2_building_partition.int_heat_gains_lat,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_lat via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
244,citydb.ng2_building_partition.int_heat_gains_lat_uom,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_lat_uom via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
245,citydb.ng2_building_partition.int_heat_gains_rad,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_rad via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
246,citydb.ng2_building_partition.int_heat_gains_rad_uom,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.int_heat_gains_rad_uom via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
247,citydb.ng2_building_partition.num_of_rooms,integer,integer,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.num_of_rooms via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
248,citydb.ng2_building_partition.owner_name,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.owner_name via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
249,citydb.ng2_building_partition.ownership_type,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.ownership_type via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
250,citydb.ng2_building_partition.ownership_type_codespace,varchar,text,GEO-NONE,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.ownership_type_codespace via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
251,citydb.ng2_building_partition.cooling_schedule_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.cooling_schedule_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
252,citydb.ng2_building_partition.heating_schedule_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.heating_schedule_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
253,citydb.ng2_building_partition.ventilation_schedule_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.ventilation_schedule_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
254,citydb.ng2_building_partition.usage_zone_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.usage_zone_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
255,citydb.ng2_building_partition.thermal_zone_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.thermal_zone_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
256,citydb.ng2_building_partition.building_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.building_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
257,citydb.ng2_building_partition.lod1_solid_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.lod1_solid_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
258,citydb.ng2_building_partition.lod2_solid_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.lod2_solid_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
259,citydb.ng2_building_partition.lod3_solid_id,bigint,fk,GEO-FK,PLANNED-1,ctdb_thermal_partition_calculator,ctdb_from_lod12,building_surfaces_lod12.thermal_zones[] (one zone per level),Fill ng2_building_partition.lod3_solid_id via ctdb_from_lod12 from TABULA archetype catalog + component XLS.
260,citydb.ng2_cityobject.id,bigint,fk,GEO-NONE,SCHEMA,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
261,citydb.ng2_cityobject.layered_construction_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
262,citydb.ng2_cityobject.ref_point,geometry(PointZ),geometry,GEO-DIRECT,PLANNED-1,ctdb_ref_point_calculator,ctdb_footprint_centroid,cim_vector.cim_wizard_building.building_geometry + z_value,Footprint centroid at z_value terrain height (sea level floor reference).
263,citydb.ng2_ctyobj_relation.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
264,citydb.ng2_ctyobj_relation.ng2_cityobject_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
265,citydb.ng2_ctyobj_relation.cityobject_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
266,citydb.ng2_ctyobj_relation.relation_type,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
267,citydb.ng2_ctyobj_relation.relation_type_codespace,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
268,citydb.ng2_device.id,bigint,fk,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.id via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
269,citydb.ng2_device.objectclass_id,integer,fk,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.objectclass_id via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
270,citydb.ng2_device.model,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_vector.cim_wizard_building_properties.fmu_file,Map fmu_file identifier to heat-pump archetype model name.
271,citydb.ng2_device.num_of_devices,integer,integer,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.num_of_devices via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
272,citydb.ng2_device.year_of_manufacture,integer,integer,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.year_of_manufacture via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
273,citydb.ng2_device.installed_power,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.installed_power via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
274,citydb.ng2_device.installed_power_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.installed_power_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
275,citydb.ng2_device.nominal_efficiency,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.nominal_efficiency via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
276,citydb.ng2_device.nominal_efficiency_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.nominal_efficiency_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
277,citydb.ng2_device.efficiency_indicator,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.efficiency_indicator via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
278,citydb.ng2_device.heat_diss,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
279,citydb.ng2_device.heat_diss_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
280,citydb.ng2_device.heat_diss_conv,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_conv via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
281,citydb.ng2_device.heat_diss_conv_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_conv_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
282,citydb.ng2_device.heat_diss_lat,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_lat via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
283,citydb.ng2_device.heat_diss_lat_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_lat_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
284,citydb.ng2_device.heat_diss_rad,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_rad via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
285,citydb.ng2_device.heat_diss_rad_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_diss_rad_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
286,citydb.ng2_device.heat_source,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.heat_source via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
287,citydb.ng2_device.cop_source_temp,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.cop_source_temp via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
288,citydb.ng2_device.cop_source_temp_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.cop_source_temp_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
289,citydb.ng2_device.cop_operation_temp,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.cop_operation_temp via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
290,citydb.ng2_device.cop_operation_temp_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.cop_operation_temp_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
291,citydb.ng2_device.has_condensation,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.has_condensation via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
292,citydb.ng2_device.type,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.type via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
293,citydb.ng2_device.type_codespace,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.type_codespace via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
294,citydb.ng2_device.installation_side,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.installation_side via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
295,citydb.ng2_device.max_cover_ratio,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.max_cover_ratio via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
296,citydb.ng2_device.max_cover_ratio_uom,varchar,text,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.max_cover_ratio_uom via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
297,citydb.ng2_device.transmittance_id,bigint,fk,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.transmittance_id via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
298,citydb.ng2_device.cityobject_id,bigint,fk,GEO-NONE,PLANNED-3,ctdb_hvac_calculator,ctdb_from_fmu_archetype,cim_wizard_building_properties.fmu_file,Fill ng2_device.cityobject_id via ctdb_from_fmu_archetype from TABULA archetype catalog + component XLS.
299,citydb.ng2_device_operation.id,bigint,fk,GEO-NONE,PLANNED-3,ctdb_device_operation_calculator,ctdb_from_archetype,fmu archetype metadata,Fill ng2_device_operation.id via ctdb_from_archetype from TABULA archetype catalog + component XLS.
300,citydb.ng2_device_operation.type,varchar,text,GEO-NONE,PLANNED-3,ctdb_device_operation_calculator,ctdb_from_archetype,fmu archetype metadata,Fill ng2_device_operation.type via ctdb_from_archetype from TABULA archetype catalog + component XLS.
301,citydb.ng2_device_operation.type_codespace,varchar,text,GEO-NONE,PLANNED-3,ctdb_device_operation_calculator,ctdb_from_archetype,fmu archetype metadata,Fill ng2_device_operation.type_codespace via ctdb_from_archetype from TABULA archetype catalog + component XLS.
302,citydb.ng2_device_operation.yearly_global_efficiency,numeric,numeric,GEO-NONE,PLANNED-3,ctdb_device_operation_calculator,ctdb_from_archetype,fmu archetype metadata,Fill ng2_device_operation.yearly_global_efficiency via ctdb_from_archetype from TABULA archetype catalog + component XLS.
303,citydb.ng2_device_operation.schedule_id,bigint,fk,GEO-NONE,PLANNED-3,ctdb_device_operation_calculator,ctdb_from_archetype,fmu archetype metadata,Fill ng2_device_operation.schedule_id via ctdb_from_archetype from TABULA archetype catalog + component XLS.
304,citydb.ng2_device_operation.device_id,bigint,fk,GEO-NONE,PLANNED-3,ctdb_device_operation_calculator,ctdb_from_archetype,fmu archetype metadata,Fill ng2_device_operation.device_id via ctdb_from_archetype from TABULA archetype catalog + component XLS.
305,citydb.ng2_energy_perf_cert.id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
306,citydb.ng2_energy_perf_cert.type,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
307,citydb.ng2_energy_perf_cert.type_codespace,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
308,citydb.ng2_energy_perf_cert.label,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
309,citydb.ng2_energy_perf_cert.value,numeric,numeric,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
310,citydb.ng2_energy_perf_cert.value_uom,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
311,citydb.ng2_energy_perf_cert.issue_date,date,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
312,citydb.ng2_energy_perf_cert.expiration_date,date,timestamp,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
313,citydb.ng2_energy_perf_cert.cert_method,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
314,citydb.ng2_energy_perf_cert.cert_uri,varchar,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
315,citydb.ng2_energy_perf_cert.building_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
316,citydb.ng2_energy_perf_cert.building_partition_id,bigint,fk,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
317,citydb.ng2_layer.id,bigint,fk,GEO-NONE,PLANNED-3,building_tabula_archetype_calculator,tabula_extract_material_layers,ng2_layered_construction layer rows,Fill ng2_layer.id via tabula_extract_material_layers from TABULA archetype catalog + component XLS.
318,citydb.ng2_layer.thickness,numeric,numeric,GEO-NONE,PLANNED-3,building_tabula_archetype_calculator,tabula_extract_material_layers,ng2_layered_construction layer rows,Fill ng2_layer.thickness via tabula_extract_material_layers from TABULA archetype catalog + component XLS.
319,citydb.ng2_layer.thickness_uom,varchar,text,GEO-NONE,PLANNED-3,building_tabula_archetype_calculator,tabula_extract_material_layers,ng2_layered_construction layer rows,Fill ng2_layer.thickness_uom via tabula_extract_material_layers from TABULA archetype catalog + component XLS.
320,citydb.ng2_layer.material_id,bigint,fk,GEO-NONE,PLANNED-3,building_tabula_archetype_calculator,tabula_extract_material_layers,ng2_layered_construction layer rows,Fill ng2_layer.material_id via tabula_extract_material_layers from TABULA archetype catalog + component XLS.
321,citydb.ng2_layer.layered_construction_id,bigint,fk,GEO-NONE,PLANNED-3,building_tabula_archetype_calculator,tabula_extract_material_layers,ng2_layered_construction layer rows,Fill ng2_layer.layered_construction_id via tabula_extract_material_layers from TABULA archetype catalog + component XLS.
